time,P,G(i),H_sun,T2m,WS10m,Int
20190117:0810,8115.0,31.25,7.95,3.24,3.52,0.0
20190117:0910,21030.0,63.42,13.95,4.42,3.17,0.0
20190117:1010,18655.0,57.91,18.01,5.08,3.24,0.0
20190117:1110,12305.0,42.28,19.74,5.05,4.14,0.0
20190117:1210,26025.0,75.37,18.96,5.35,4.34,0.0
20190117:1310,18645.0,57.91,15.76,5.36,4.41,0.0
20190117:1410,11220.0,39.52,10.45,5.05,4.34,0.0
20190117:1510,795.0,9.19,3.47,4.54,4.55,0.0
20190117:1610,0.0,0.0,0.0,3.88,4.28,0.0
20190117:1710,0.0,0.0,0.0,3.41,4.69,0.0
20190117:1810,0.0,0.0,0.0,2.79,5.03,0.0
20190117:1910,0.0,0.0,0.0,2.2,4.9,0.0
20190117:2010,0.0,0.0,0.0,1.69,4.69,0.0
20190117:2110,0.0,0.0,0.0,0.93,4.07,0.0
20190117:2210,0.0,0.0,0.0,0.38,3.86,0.0
20190117:2310,0.0,0.0,0.0,0.16,4.0,0.0
20190118:0010,0.0,0.0,0.0,-0.39,3.93,0.0
20190118:0110,0.0,0.0,0.0,-0.79,4.07,0.0
20190118:0210,0.0,0.0,0.0,-1.05,4.07,0.0
20190118:0310,0.0,0.0,0.0,-1.15,4.0,0.0
20190118:0410,0.0,0.0,0.0,-1.32,4.14,0.0
20190118:0510,0.0,0.0,0.0,-1.52,4.07,0.0
20190118:0610,0.0,0.0,0.0,-1.59,3.79,0.0
20190118:0710,0.0,0.0,0.0,-1.69,3.31,0.0
20190118:0810,63865.0,155.39,8.09,-1.6,2.76,0.0
20190118:0910,97505.0,226.56,14.11,-0.98,3.66,0.0
20190118:1010,333330.0,758.58,18.18,-0.44,3.03,0.0
20190118:1110,272225.0,616.95,19.93,0.08,2.76,0.0
20190118:1210,85185.0,202.66,19.17,0.08,2.41,0.0
20190118:1310,243600.0,554.34,15.97,0.06,1.93,0.0
20190118:1410,187505.0,429.13,10.67,-0.17,1.66,0.0
20190118:1510,7520.0,29.71,3.68,-1.23,1.38,0.0
20190118:1610,0.0,0.0,0.0,-2.9,1.24,0.0
20190118:1710,0.0,0.0,0.0,-1.65,1.17,0.0
20190118:1810,0.0,0.0,0.0,-1.52,1.24,0.0
20190118:1910,0.0,0.0,0.0,-1.91,1.31,0.0
20190118:2010,0.0,0.0,0.0,-3.15,1.38,0.0
20190118:2110,0.0,0.0,0.0,-4.6,1.59,0.0
20190118:2210,0.0,0.0,0.0,-4.59,1.52,0.0
20190118:2310,0.0,0.0,0.0,-4.55,1.52,0.0
20190119:0010,0.0,0.0,0.0,-4.54,1.52,0.0
20190119:0110,0.0,0.0,0.0,-5.28,1.52,0.0
20190119:0210,0.0,0.0,0.0,-5.65,1.66,0.0
20190119:0310,0.0,0.0,0.0,-5.88,1.79,0.0
20190119:0410,0.0,0.0,0.0,-5.78,1.79,0.0
20190119:0510,0.0,0.0,0.0,-5.46,1.86,0.0
20190119:0610,0.0,0.0,0.0,-5.07,2.0,0.0
